"","x"
"1101",1461.37336
"1102",1461.37336
"1103",1461.37336
"1104",1461.37336
"1105",1461.37336
"1106",1461.37336
"1107",1461.37336
"1108",1461.37336
"1109",1461.37336
"1110",1461.40316
"1111",1461.40316
"1112",1461.5311
"1113",1462.15009
"1114",1462.24375
"1115",1463.67046
"1116",1463.73464
"1117",1465.5756
"1118",1465.9595
"1119",1466.26122
"1120",1466.80746
"1121",1466.8426
"1122",1467.11666
"1123",1469.30896
"1124",1469.30896
"1125",1469.30896
"1126",1469.84359
"1127",1469.95057
"1128",1470.6881
"1129",1470.83489
"1130",1476.43132
"1131",1476.74256
"1132",1476.74256
"1133",1477.21851
"1134",1483.41759
"1135",1483.5177
"1136",1484.06483
"1137",1484.06483
"1138",1484.60171
"1139",1485.37792
"1140",1486.98954
"1141",1487.17114
"1142",1487.94821
"1143",1488.6321
"1144",1489.70701
"1145",1491.47479
"1146",1493.20265
"1147",1494.09421
"1148",1494.69012
"1149",1494.75752
"1150",1494.78127
"1151",1498.84364
